PRJNA_ID	run_accession	geo_accession	sample_accession	title	fastq_ftp
PRJNA273359	SRR1768938	GSM1588905	SAMN03290931	Pt21-DP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768938/SRR1768938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768938/SRR1768938_2.fastq.gz
PRJNA273359	SRR1768939	GSM1588906	SAMN03290923	Pt22-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768939/SRR1768939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768939/SRR1768939_2.fastq.gz
PRJNA273359	SRR1768940	GSM1588906	SAMN03290923	Pt22-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768940/SRR1768940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768940/SRR1768940_2.fastq.gz
PRJNA273359	SRR1768941	GSM1588907	SAMN03290933	Pt22-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768941/SRR1768941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768941/SRR1768941_2.fastq.gz
PRJNA273359	SRR1768942	GSM1588907	SAMN03290933	Pt22-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768942/SRR1768942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768942/SRR1768942_2.fastq.gz
PRJNA273359	SRR1768943	GSM1588908	SAMN03290953	Pt22-DDP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768943/SRR1768943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768943/SRR1768943_2.fastq.gz
PRJNA273359	SRR1768944	GSM1588908	SAMN03290953	Pt22-DDP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768944/SRR1768944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768944/SRR1768944_2.fastq.gz
PRJNA273359	SRR1768945	GSM1588909	SAMN03290941	Pt22-DDP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768945/SRR1768945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768945/SRR1768945_2.fastq.gz
PRJNA273359	SRR1768946	GSM1588909	SAMN03290941	Pt22-DDP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768946/SRR1768946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768946/SRR1768946_2.fastq.gz
PRJNA273359	SRR1768947	GSM1588910	SAMN03290926	Pt23-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768947/SRR1768947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768947/SRR1768947_2.fastq.gz
