patient_biospecimen	biosample_accession	local_fastq_r1	local_fastq_r2
Pt3-DP1	SAMN03290908	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768833_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768834_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768835_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768833_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768834_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768835_2.fastq.gz
Pt3-DP2	SAMN03290909	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768836_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768837_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768836_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768837_2.fastq.gz
Pt3-DP3	SAMN03290920	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768838_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768839_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768838_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768839_2.fastq.gz
Pt4-baseline	SAMN03290894	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768840_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768841_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768840_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768841_2.fastq.gz
Pt4-DP1	SAMN03290911	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768842_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768843_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768842_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768843_2.fastq.gz
Pt5-baseline	SAMN03290910	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768844_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768845_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768844_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768845_2.fastq.gz
Pt5-DP1	SAMN03290922	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768846_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768847_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768846_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768847_2.fastq.gz
Pt5-DP2	SAMN03290915	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768848_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768849_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768848_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768849_2.fastq.gz
Pt5-DP3	SAMN03290888	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768850_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768851_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768850_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768851_2.fastq.gz
Pt6-baseline	SAMN03290906	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768852_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768853_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768854_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768852_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768853_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768854_2.fastq.gz
Pt6-DP1	SAMN03290921	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768855_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768856_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768857_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768855_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768856_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768857_2.fastq.gz
Pt6-DP2	SAMN03290885	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768858_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768859_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768860_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768858_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768859_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768860_2.fastq.gz
